         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      20:08:00.00      |     69°55.79'N     |     126°27.59'E     |
|      20:07:30.00      |     69°40.26'N     |     126°54.24'E     |
|      20:07:00.00      |     69°24.72'N     |     127°20.42'E     |
|      20:06:30.00      |     69°09.15'N     |     127°46.12'E     |
|      20:06:00.00      |     68°53.58'N     |     128°11.38'E     |
|      20:05:30.00      |     68°37.98'N     |     128°36.22'E     |
|      20:05:00.00      |     68°22.38'N     |     129°00.64'E     |
|      20:04:30.00      |     68°06.76'N     |     129°24.66'E     |
|      20:04:00.00      |     67°51.12'N     |     129°48.29'E     |
|      20:03:30.00      |     67°35.47'N     |     130°11.56'E     |
|      20:03:00.00      |     67°19.81'N     |     130°34.47'E     |
|      20:02:30.00      |     67°04.14'N     |     130°57.04'E     |
|      20:02:00.00      |     66°48.46'N     |     131°19.28'E     |
|      20:01:30.00      |     66°32.76'N     |     131°41.19'E     |
|      20:01:00.00      |     66°17.05'N     |     132°02.80'E     |
|      20:00:30.00      |     66°01.33'N     |     132°24.11'E     |
|      20:00:00.00      |     65°45.59'N     |     132°45.13'E     |
|      19:59:30.00      |     65°29.85'N     |     133°05.87'E     |
|      19:59:00.00      |     65°14.09'N     |     133°26.34'E     |
|      19:58:30.00      |     64°58.33'N     |     133°46.55'E     |
|      19:58:00.00      |     64°42.55'N     |     134°06.51'E     |
|      19:57:30.00      |     64°26.76'N     |     134°26.23'E     |
|      19:57:00.00      |     64°10.96'N     |     134°45.70'E     |
|      19:56:30.00      |     63°55.14'N     |     135°04.95'E     |
|      19:56:00.00      |     63°39.32'N     |     135°23.98'E     |
|      19:55:30.00      |     63°23.48'N     |     135°42.79'E     |
|      19:55:00.00      |     63°07.64'N     |     136°01.39'E     |
|      19:54:30.00      |     62°51.78'N     |     136°19.79'E     |
|      19:54:00.00      |     62°35.91'N     |     136°38.00'E     |
|      19:53:30.00      |     62°20.03'N     |     136°56.01'E     |
|      19:53:00.00      |     62°04.14'N     |     137°13.84'E     |
|      19:52:30.00      |     61°48.24'N     |     137°31.49'E     |
|      19:52:00.00      |     61°32.32'N     |     137°48.96'E     |
|      19:51:30.00      |     61°16.40'N     |     138°06.27'E     |
|      19:51:00.00      |     61°00.46'N     |     138°23.41'E     |
|      19:50:30.00      |     60°44.51'N     |     138°40.39'E     |
|      19:50:00.00      |     60°28.55'N     |     138°57.21'E     |
|      19:49:30.00      |     60°12.58'N     |     139°13.89'E     |
|      19:49:00.00      |     59°56.60'N     |     139°30.42'E     |
|      19:48:30.00      |     59°40.61'N     |     139°46.80'E     |
|      19:48:00.00      |     59°24.60'N     |     140°03.05'E     |
|      19:47:30.00      |     59°08.58'N     |     140°19.15'E     |
|      19:47:00.00      |     58°52.55'N     |     140°35.13'E     |
